customer_id,age,gender,income,employment_status,residence_type,years_at_address,education_level,marital_status,num_dependents
c766dd63-683e-4858-9bbe-b0d9802ccb52,48.0,Other,27997.169004291627,,Own,3.0,Master's,Single,
1f8424bd-708c-4f1a-b1c3-5294e61cf9a3,42.0,Female,76744.58695230151,,Mortgage,2.0,,Married,0.0
403fd582-4ccf-4a4b-bc93-243ec90b9454,39.0,Female,92377.39383755719,Employed,Rent,3.0,Bachelor's,Single,0.0
935b67b4-2fbd-4d23-a516-8cda99d6bf85,50.0,Male,34870.42099495729,Employed,Rent,7.0,Bachelor's,Married,0.0
6786d506-38ba-4abc-8b53-05e517d2582e,39.0,,133077.29963798492,Employed,Mortgage,6.0,Bachelor's,Single,1.0
2a7cf9e9-d7a7-47b1-88c6-2063a06303ca,26.0,Female,26177.397498615253,Employed,Rent,3.0,High School,Married,2.0
047dd583-9344-4b2f-bba3-16688334e524,41.0,Female,50885.82356402576,Employed,Mortgage,4.0,Bachelor's,Married,0.0
93188472-9fa6-43ea-9b65-e8d62660f73f,27.0,Female,30863.361647210786,Employed,Rent,2.0,Bachelor's,Divorced,4.0
cc02ae53-5cad-41a9-80d2-e1bee0ef3416,53.0,Male,75376.15374068616,Employed,Own,4.0,Bachelor's,Single,0.0
b21eafab-f649-49e8-9e03-2a652346f26d,47.0,Female,189955.90031013812,Employed,Rent,6.0,Master's,Single,1.0
0265a223-71cf-4772-b167-d947efadf069,19.0,Male,216470.32524412294,Employed,Rent,54.0,PhD,Married,3.0
65cc59d6-2d52-4b16-a709-9d55c49943ce,18.0,Male,79259.42369751845,Unemployed,,3.0,Bachelor's,Single,1.0
69bea8c9-3a24-4c19-8292-9d3d96afa28a,37.0,Female,45257.98715036418,Employed,Rent,5.0,Bachelor's,Divorced,0.0
7b5aaea7-fd77-419f-a40e-78ce0690b4f3,59.0,Male,49490.45685486306,Employed,Mortgage,4.0,High School,Married,3.0
13c3fc1b-d77a-40b8-9ae6-befe8f2de908,47.0,Female,61560.30627684315,Employed,Mortgage,8.0,Master's,Divorced,0.0
1336d4de-c5e9-43c3-bf44-23d549a1f7a1,61.0,Male,97354.289706851,Employed,Mortgage,2.0,Master's,Divorced,0.0
c88a618e-fed4-457d-bb02-6576f512c4c3,42.0,Female,32536.661386766278,Employed,Own,2.0,PhD,Married,0.0
fff446b9-bb46-4c13-b28a-030b532da8fe,74.0,Other,50170.58725052896,Self-Employed,Rent,4.0,High School,Married,1.0
43b6c6ef-35c8-4133-bb8b-1581cba95e23,39.0,Male,34053.547600336526,Employed,Rent,3.0,Bachelor's,Single,2.0
20b8d865-580e-40e4-bf02-7521c8ba5226,18.0,Female,136284.3825963404,Employed,Own,5.0,High School,Single,0.0
88fd5890-a479-4ce2-b7ee-e00f7743c104,,Female,45824.58905488739,Employed,Own,48.0,PhD,Divorced,0.0
057eccfa-15f3-4747-90bb-5ed3c9765bdf,53.0,Male,21772.019938504443,Employed,Mortgage,8.0,Bachelor's,Married,0.0
31ab0158-2cf6-473b-9500-c14707743c94,246.0,Female,97468.79243160677,Unemployed,,4.0,High School,Married,2.0
5e09a9ee-af88-4dec-bb1e-143b196f4dfa,53.0,Female,48126.40499396936,,Own,8.0,High School,Married,0.0
e8d7ea29-3694-478c-aed1-95c9a8c62c4d,35.0,Male,16728.9608794822,Employed,Mortgage,5.0,Master's,Married,1.0
