account_id,customer_id,account_open_date,credit_limit,current_balance,interest_rate,credit_score,num_late_payments_last_12m,num_credit_inquiries_last_6m,debt_to_income_ratio,account_status
0fc4350e-8e31-4669-b46c-1f358056d992,7570b0ac-5d42-40d5-80e7-ca767c8ad37a,2002-02-21,,1200.0289227449712,0.13547164865042793,736.0,0.0,0.0,0.46882551708740505,Open
b98a8ff5-7eb4-4468-a900-afedb1564ee2,64cfd9b9-050e-4961-b363-d272d0181ce6,2008-07-26,17103.185876847765,2064.1485431247766,0.27101203303044863,496.0,0.0,1.0,0.31554185231737064,Delinquent
8146ef20-8aad-4537-ac88-e9d7c9ef4cdf,5e24296e-b736-4ad9-b9a8-226b5ced7017,2019-03-01,10395.42606274498,6191.203948943001,0.10128309884659853,686.0,3.0,1.0,0.22119227179955325,Closed
1851408c-2512-4d94-8a1f-8f77719cec78,a928a5b2-9185-4abd-8e90-ae4a1fd28b9e,2018-03-07,11562.58573531416,2397.2845632352264,0.27163027800912054,706.0,2.0,1.0,0.2440350994396942,Open
830bed4f-c566-42fa-8422-0efc9d435023,7146a1c1-cd04-4f6c-a391-26040519ae36,2011-04-07,,3838.65554255544,0.19465769933397198,766.0,,1.0,0.3801005000444817,Open
bbaafa3c-7628-4ede-b875-c81f47d99ac7,811317a8-f4c8-4393-96dd-6c82a8909e31,2005-02-10,10876.870219942102,8179.284165606827,0.12906350088945964,599.0,0.0,2.0,0.22177759711871411,Open
779ee330-6ded-43f8-9d60-cc7341b74316,c7a9ff30-99d6-4609-868c-10055a9b9519,2004/07/27,20230.82539424597,3185.3602652768573,,736.0,0.0,2.0,0.4215303855512824,Delinquent
2cc23f40-89cb-4746-b172-a96fdf8bc936,2057111f-243b-4306-93f6-5b6fd84ccc20,2000-09-17,,3093.6271861544046,0.13053356548838962,675.0,0.0,1.0,0.0,Open
7bd86799-2cab-4c0b-a8b1-792f2818ae03,411920f6-d056-4199-b728-ddc20f5e8b47,2013-03-12,21820.018310269912,6067.649000011047,0.12944470569923489,740.0,0.0,1.0,0.37339035548620647,Open
742b0da8-7ef5-4da4-b72e-d2c7d38d665e,4a25cec8-c3fa-463d-829f-8b3904edf187,10-19-2018,18606.987123158386,4022.2992935400043,0.2284066374558477,595.0,0.0,0.0,0.2215874945745967,Open
8dac2784-6355-4c2b-8fe3-d3a8a8aa9846,32a807cc-2c47-4336-8006-1add316c00bc,2004-01-15,13623.249197214182,1809.187076745801,0.1402479278360323,669.0,1.0,2.0,0.39537666698784835,Open
73e85d91-34ad-4b44-acdc-166d78535020,fd9c635d-3a54-4890-82fd-a10144f801b9,2007-06-28,4518.613565498751,3852.242548800002,0.19809953410752568,777.0,0.0,,0.23256630111280985,Closed
002d111d-08aa-49da-94c5-be4f63e947bf,1b2b5f8b-a27e-4970-8452-ba518223c495,2008-05-12,23297.34532781848,4881.747837419282,,602.0,0.0,1.0,0.43758062264860315,Open
197f8e8e-e67f-4bfa-b373-4dcd1ef47373,e39f95a1-61a9-429d-adc2-735db26dfebe,2016-07-31,6457.370146976965,6090.7974802712215,0.1245362915521556,500.0,0.0,1.0,0.2509273204551988,Open
a7ed47d5-463b-4015-90d1-ce1ae9bf0dca,ce8a5306-d243-4d1b-96bd-5e9f4e7a081e,2013-06-16,8170.2970924030005,4053.4510080299365,0.05,742.0,0.0,2.0,0.33012610161336087,Open
01e89a9a-b521-4376-ac5b-9593fb07407f,636f1e3d-28c8-40b1-a7be-e26e9f30418c,2016-05-04,1941.8743405334792,4452.935970702329,0.1051858903882271,567.0,0.0,2.0,0.2728929690046376,Open
224717f9-9d62-405d-99e4-8a169c9a3db3,69ccaeb0-a4a5-408d-8aec-4d62f30fa5b6,2000-07-07,18921.64865169308,1024.1967755065562,0.15541820327277384,674.0,1.0,3.0,0.30269201441272375,Open
58c53d09-b05b-4220-bdc8-9a97ca8b116c,323132fa-6181-42de-9b37-0ca76ea5e341,2014-11-14,7236.906470432326,7887.78790950322,0.10499942199894814,438.0,1.0,3.0,0.3990659979112793,Open
c349263f-6b24-4f7c-85ac-f9f0829bfa81,1036ca81-0bc4-47ba-b0d0-ebcb6949ece5,2012-08-08,11576.167938638162,5560.092684684465,0.12186960293675071,751.0,1.0,0.0,0.31561276639251107,Open
fdcadf20-5cd1-4fc8-8411-01383a1e1132,db36840c-19b7-4aaa-85cc-2c2d89c93243,2017-08-30,30782.326283787883,15107.141017968557,0.18027756028773054,763.0,2.0,1.0,0.1617333204012384,Open
